case_id,animal_type,pet_age,symptoms_text,predicted_illness,confidence_override,severity_override
268,reptile,1.5,mites on skin tiny black dots restlessness soaking anemia dark spots in joints,Mite Infestation,0.86,moderate
269,reptile,2,restlessness soaking frequently tiny black dots mites on skin dark spots joints,Mite Infestation,0.84,moderate
270,reptile,1,tiny black dots mite infestation restlessness soaking dark spots in joints snake,Mite Infestation,0.82,moderate
271,reptile,2,blisters ulcers on scales reddish scales mushy scales snake dirty enclosure wet substrate foul smell,Scale Rot,0.92,high
272,reptile,3,mushy scales blisters reddish scales foul smell dirty enclosure wet substrate,Scale Rot,0.89,high
273,reptile,1,blisters on scales ulcers reddish scales dirty enclosure wet substrate,Scale Rot,0.87,high
274,reptile,2,ulcers on scales mushy scales reddish scales foul smell wet substrate snake,Scale Rot,0.85,high
275,reptile,1.5,blisters mushy scales reddish scales foul smell dirty enclosure,Scale Rot,0.83,high
276,reptile,1,not defecating bloated lethargy no appetite straining improper substrate loose substrate leopard gecko,Impaction,0.91,high
277,reptile,2,bloated not defecating lethargy no appetite straining loose substrate giant gecko,Impaction,0.88,high
278,reptile,1.5,not defecating bloated straining no appetite lethargy loose substrate,Impaction,0.86,high
279,reptile,1,bloated not defecating straining no appetite lethargy improper substrate,Impaction,0.84,high
280,reptile,2,not defecating bloated lethargy no appetite straining loose calcium sand,Impaction,0.82,high
281,dog,2,skin itching redness scratching hair loss in patches allergy season,Canine Allergies,0.75,low
282,dog,4,lethargy coughing mild fever nasal discharge,Canine Kennel Cough,0.78,moderate
283,dog,3,vomiting loss of appetite once mild lethargy,Canine Gastritis,0.68,low
284,dog,1,diarrhea soft stool mild lethargy new food,Canine Gastritis,0.65,low
285,dog,5,joint stiffness mild lameness after rest older dog,Canine Arthritis,0.80,moderate
286,dog,6,drinking more water frequent urination older dog weight loss,Canine Diabetes,0.82,high
287,dog,2,brown discharge ear odor head shaking scratching ear,Otitis Externa,0.83,moderate
288,dog,3,limping front leg mild reluctance to jump,Canine Hip Dysplasia,0.72,moderate
289,dog,4,skin scratching hot spots moist red skin,Hot Spot Dermatitis,0.81,moderate
290,dog,1,vomiting milk curd once playful puppy,Canine Gastritis,0.60,low
291,cat,3,litter box straining blood small amount,FLUTD,0.85,high
292,cat,5,drinking water more frequent urination weight loss older cat,Hyperthyroidism,0.81,high
293,cat,2,sneezing occasionally mild eye discharge,Indoor Cat Allergies,0.70,low
294,cat,1,diarrhea soft stool once playful appetite normal,Cat Gastritis,0.62,low
295,cat,4,skin itching scratching hair loss on belly,Cat Flea Allergy,0.79,moderate
296,cat,2,ear scratching dark wax head shaking,Ear Mites,0.82,low
297,cat,3,vomiting hairball once normal appetite,Cat Hairballs,0.75,low
298,cat,1,lethargy loss of appetite fever mild shelter cat,Infectious Cat Cold,0.74,moderate
299,cat,4,weight loss poor coat matted fur older cat,Hyperthyroidism,0.78,high
300,cat,2,urinating small frequent amounts blood,FLUTD,0.88,critical
301,bird,2,fluffed feathers occasional sneeze normal appetite,Respiratory Infection Mild,0.68,low
302,bird,3,feather plucking boredom stressed bird new cage,Feather Plucking,0.72,moderate
303,bird,1,slightly watery droppings normal behavior appetite,Stress Droppings,0.55,low
304,bird,2,loss of appetite lethargy green droppings 3 days,Avian Infection,0.80,high
305,bird,3,feather loss bald patches spreading,Feather Disease,0.74,moderate
306,bird,1,white spots in mouth crop sour smell,Candidiasis,0.77,moderate
307,bird,2,sneezing nasal discharge mildly lethargic,Respiratory Infection Mild,0.71,moderate
308,bird,3,feather plucking self-mutilation bored stressed,Feather Plucking,0.75,moderate
309,bird,1,eye watery slightly swollen one eye,Minor Eye Irritation,0.60,low
310,bird,2,loss of appetite weight loss poor feather quality seed diet,Vitamin A Deficiency,0.73,moderate
311,rabbit,2,sneezing mild nasal discharge normal appetite,Rabbit Cold,0.70,low
312,rabbit,3,not eating hay for 12 hours bloated small droppings,Gastrointestinal Stasis,0.85,critical
313,rabbit,1,head tilt mild circling one direction,E. cuniculi,0.72,high
314,rabbit,4,drooling wet chin excessive drooling long teeth,Overgrown Teeth,0.78,moderate
315,rabbit,2,hair loss itching scratching fleas,Rabbit Fleas,0.71,low
316,rabbit,3,not eating small amount of cecotropes,Normal Cecotropes,0.45,low
317,rabbit,1,slightly soft stool normal appetite normal behavior,GI Upset Mild,0.50,low
318,rabbit,2,sneezing nasal discharge matted paws,Snuffles,0.76,moderate
319,rabbit,3,diarrhea wet bottom loss of appetite stressed,GI Stasis,0.80,critical
320,rabbit,1,bloated slightly less droppings than normal,GI Slowdown,0.55,moderate
321,hamster,1,sneezing occasionally mild wheezing,Upper Respiratory Infection,0.68,low
322,hamster,2,hair loss patchy skin itching,Fungal Infection,0.65,low
323,hamster,1.5,lethargy mild reduced activity cold room,Hibernation Attempt,0.50,moderate
324,hamster,2,wet tail diarrhea hunched posture sudden,Wet Tail,0.82,critical
325,hamster,1.5,scratching itching hair loss,Mite Infestation,0.64,moderate
326,hamster,1,lump small single painless lump older hamster,Skin Tumor,0.58,moderate
327,hamster,2,increased thirst increased urination genetics,Diabetes Mellitus,0.72,high
328,hamster,1,bloated mildly reduced appetite after new food,Dietary Indiscretion,0.45,low
329,hamster,1.5,eye sticky discharge one eye,Eye Infection,0.60,low
330,hamster,2,lethargy reduced activity older hamster,Age-related Decline,0.40,low
331,fish,1,white spots few spots on fins mild flashing,Ich Early Stage,0.75,moderate
332,fish,1.5,fin edges slightly red fuzzy appearance,Fin Rot Early,0.68,moderate
333,fish,2,floating slightly tilted one side no other symptoms,Swim Bladder Issue,0.62,low
334,fish,1,slightly bloated normal behavior appetite normal,Dietary Overindulgence,0.40,low
335,fish,1.5,gasping at surface occasionally water warm,Ammonia Slight,0.55,moderate
336,fish,2,clamped fins mild lethargy one day,Stress Response,0.50,low
337,fish,1,less active than usual slightly pale gills,Water Quality Issue,0.52,moderate
338,fish,1.5,swimming slightly sideways one day,Minor Swim Bladder,0.48,low
339,fish,2,white spots spreading rapidly body flash,Ich Advanced,0.88,high
340,fish,1,fin deterioration beginning red edges,Fin Rot Early,0.70,moderate
341,reptile,2,not eating for 3 days normal behavior shed imminent,Pre-shed Anorexia,0.45,low
342,reptile,3,not eating weight loss lethargy poor husbandry,Impaction Early,0.70,high
343,reptile,1.5,stuck shed skin retained eyes,Incomplete Shed,0.55,low
344,reptile,2,eyes cloudy slight dull appearance,Mild Dehydration,0.48,low
345,reptile,1,sneezing occasional open mouth breathing cool temp,Respiratory Infection,0.65,moderate
346,reptile,3,not eating 2 weeks weight loss no UVB light,MBD Early,0.72,critical
347,reptile,2,skin slightly dull dull coloration poor appetite,Vitamin Deficiency,0.60,moderate
348,reptile,1.5,mites visible tiny dots on skin restless, Mite Infestation,0.74,moderate
349,reptile,2,bubbles from mouth slightly labored breathing,Respiratory Infection,0.69,high
350,reptile,1,skin slightly discolored one patch no other signs,Minor Skin Issue,0.42,low
351,dog,3,occasional scratching normal behavior healthy coat,Flea-free Normal,0.30,low
352,dog,2,limping mild after long walk recover quickly,Minor Strain,0.55,low
353,dog,4,vomiting bile once morning hungry dog,Empty Stomach Bile,0.45,low
354,dog,1,diarrhea once loose stool energetic puppy,GI Upset,0.42,low
355,dog,5,drinking slightly more water normal urination,Normal Variation,0.25,low
356,dog,2,hot to touch one paw limping slight,Minor Paw Injury,0.50,low
357,dog,3,ear scratching one side mild brown wax,Normal Ear Wax,0.35,low
358,dog,1,sneezing occasional new environment pollen,Allergic Sneeze,0.40,low
359,dog,4,breath slightly bad tartar teeth,Early Dental Disease,0.45,low
360,dog,2,lethargic after vaccination yesterday,Post-vaccine Fatigue,0.40,low
361,cat,3,meowing more than usual affectionate behavior,Normal Behavior,0.25,low
362,cat,2,throwing up food immediately after eating hairball,Cat Hairballs,0.55,low
363,cat,1,hiding under bed stressed new home,Stress Acclimation,0.35,low
364,cat,4,drinking from faucet extra thirsty hot weather,Environmental Thirst,0.30,low
365,cat,2,scratching post more than usual normal claws,Scratching Normal,0.25,low
366,cat,1,soft stool one day normal appetite playful,GI Upset Mild,0.38,low
367,cat,3,grooming excessively one area hair loss small,Allergic Dermatitis,0.58,low
368,cat,5,weight stable good appetite older cat healthy,Normal Senior Cat,0.20,low
369,cat,2,sneezing 3 times today mild eye water,Minor Cold,0.42,low
370,cat,1,vomiting food once foam hungry stomach,Empty Stomach Vomiting,0.40,low
371,bird,2,preening more than usual normal feather condition,Normal Preening,0.25,low
372,bird,1,droppings slightly watery new vegetable diet,Dietary Change Droppings,0.38,low
373,bird,3,sitting on bottom perch one day still eating,Minor Malaise,0.45,low
374,bird,2,feather slightly dull normal appetite,Bird Molt,0.35,low
375,bird,1,sneezing once new air freshener,Vocal Sneeze,0.30,low
376,bird,3,wing drooping one side minor injury possible,Minor Wing Strain,0.42,low
377,bird,2,losing feathers moderate new perch stress,Stress Feather Loss,0.40,low
378,bird,1,drinking more water new seed mix salty,Normal Thirst Increase,0.30,low
379,bird,2,less vocal than usual sleepy morning,Bird Sleepy,0.25,low
380,bird,1,feather dust white powder normal budgerigar,Budgie Dust,0.30,low
381,rabbit,2,eating hay less than usual one day,Minor GI Slowdown,0.40,low
382,rabbit,3,cecotropes soft stuck to bottom normal appetite,Cecotrope Issue,0.35,low
383,rabbit,1,one eye watery slight squinting,Minor Eye Irritation,0.38,low
384,rabbit,4,one hind leg slightly weak recovering from injury,Minor Injury,0.42,low
385,rabbit,2,diarrhea soft stool after new vegetable diet,GI Upset Veggies,0.45,low
386,rabbit,1,scratching ear one side black specks,Ear Mites Mild,0.52,moderate
387,rabbit,3,not eating for 8 hours still passing droppings,GI Slowdown,0.50,moderate
388,rabbit,2,nails slightly overgrown,Overgrown Nails,0.30,low
389,rabbit,1,one small scab on ear minor wound,Minor Wound,0.32,low
390,rabbit,4,urinating more often litter wet spots,Urinary Tract Issue,0.48,moderate
391,hamster,1,one small bald patch active normal appetite,Normal Bald Patch,0.25,low
392,hamster,2,drinking slightly more normal urine output,Normal Variation,0.25,low
393,hamster,1.5,wheel squeaking loud not running wheel,Nocturnal Activity,0.30,low
394,hamster,2,chewing cage bars bored enrichment needed,Boredom Behavior,0.35,low
395,hamster,1,one scab on back minor wound,Minor Wound,0.30,low
396,hamster,1.5,sneezing slightly dusty bedding new,Allergic Sneeze,0.38,low
397,hamster,2,eyes slightly crusty one morning mild,Minor Eye Crust,0.35,low
398,hamster,1,hunched slightly after cold night warm up,Chilly Hamster,0.32,low
399,hamster,2,food hoarding more than usual normal appetite,Normal Hoarding,0.25,low
400,hamster,1,limping one leg mild after fall from height,Minor Limb Strain,0.42,low
401,fish,1.5,slightly less active cool water temperature,Normal Cool Response,0.28,low
402,fish,2,fin slightly clamped less active day,Minor Stress,0.35,low
403,fish,1,one small white spot mild single spot,Ich Very Early,0.45,moderate
404,fish,1.5,swimming normally but one fin drooping slightly,Fin Injury Mild,0.38,low
405,fish,2,less interest in food one day normal day after,Dietary Indiscretion,0.30,low
406,fish,1,bottom sitting one hour then normal,Normal Resting,0.25,low
407,fish,1.5,color slightly faded normal appetite,Water Quality,0.35,moderate
408,fish,2,floating top one hour after feeding large meal,Bloat After Feeding,0.32,low
409,fish,1,gasping occasionally surface water well-oxygenated,Normal Surface Gasping,0.28,low
410,fish,1.5,one red spot on body minor injury,Minor Injury,0.35,low
411,reptile,2,not eating shed week normal behavior,Pre-shed Anorexia,0.40,low
412,reptile,1,stuck shed toes slight retained skin,Incomplete Shed,0.38,low
413,reptile,3,drinking less water cool temperature normal,Normal Cool Response,0.28,low
414,reptile,2,slightly pale color after sleep normal after warm,Normal Circulation,0.30,low
415,reptile,1,one eye slightly closed one time,Minor Eye Irritant,0.35,low
416,reptile,3,burrowing more than usual new substrate enrich,Normal Behavior,0.25,low
417,reptile,2,smell slightly foul from enclosure dirty cage,Dirty Enclosure,0.35,moderate
418,reptile,1,sneezing occasional cool misting,Normal Sneeze,0.30,low
419,reptile,2,less active than usual cool room night,Normal Night Rest,0.28,low
420,reptile,1.5,eyes slightly cloudy after sleep vitamin A,Pre-shed Cloudy,0.35,low
421,dog,3,scratching ear occasional head shake brown wax mild,Otitis Externa Early,0.55,moderate
422,dog,2,skin slightly red between toes one paw,Interdigital Pyoderma,0.50,moderate
423,dog,1,vomiting undigested food once 30 min after eating,Canine Gastritis,0.50,low
424,dog,5,limping mild stiffness after rest stretching out,Canine Arthritis,0.58,moderate
425,dog,2,diarrhea loose stool 2 days mild no blood,Canine Gastritis,0.52,low
426,dog,4,hot spot forming red moist skin,Hot Spot Early,0.60,moderate
427,dog,3,scooting anal glands mild smell,Anal Gland Issue,0.45,low
428,dog,1,reverse sneezing occasional irritant,Reverse Sneeze,0.40,low
429,dog,6,grey hair around muzzle older dog,Normal Aging,0.25,low
430,dog,2,bleeding torn nail minor limp,Broken Nail,0.48,low
431,cat,2,constipation straining small hard stool,Cat Constipation,0.52,moderate
432,cat,3,urine marking spraying vertical surfaces intact male,Cat Spraying,0.40,low
433,cat,4,grumpy older cat hissing when touched arthritis,Arthritis Pain,0.55,moderate
434,cat,1,vomiting food whole worms rice grains,Worm Infestation,0.65,moderate
435,cat,2,overgrooming belly fur missing patches,Cat Allergic Dermatitis,0.58,low
436,cat,3,red watery eyes sneezing mild one day,Cat Herpesvirus,0.52,low
437,cat,1,sneezing nasal discharge mild shelter cat new,Feline URI,0.60,moderate
438,cat,5,blood in urine small amount male cat,FLUTD,0.72,critical
439,cat,4,greasy matted coat older cat not grooming,Arthritis Grooming Issue,0.50,moderate
440,cat,2,diarrhea loose stool 3 days mild weight stable,Cat Enteritis,0.55,moderate
441,bird,1,fluffed feathers one hour after bath cold,Post-bath Chill,0.35,low
442,bird,2,one feather bent broken not bleeding,Broken Feather,0.30,low
443,bird,3,sleeping more than usual molting season,Molting Fatigue,0.32,low
444,bird,1,beak slightly overgrown trim needed,Overgrown Beak,0.40,moderate
445,bird,2,climbing less than usual older bird,Age-related Decline,0.35,low
446,bird,1,eye slightly swollen one side minor,Minor Eye Swelling,0.38,low
447,bird,3,not preening feathers dull,Depression Feather Care,0.45,moderate
448,bird,2,wing drooping slightly one day,Minor Wing Strain,0.40,low
449,bird,1,nasal discharge one nostril mild,Minor Nasal Infection,0.45,moderate
450,bird,2,less vocal than usual new cage mate,Social Stress,0.35,low
451,rabbit,2,one hind leg slightly splayed neurological issue,Neurological Issue,0.48,high
452,rabbit,3,urinating more frequently wet litter,Urinary Tract Issue,0.52,moderate
453,rabbit,1,diarrhea wet bottom critical immediate,GI Stasis Critical,0.72,critical
454,rabbit,4,lumps under skin multiple older rabbit,Tumors,0.65,high
455,rabbit,2,teeth overgrown drooling wet chin severe,Overgrown Teeth,0.68,moderate
456,rabbit,1,skin parasites visible fur loss,Parasitic Infestation,0.62,moderate
457,rabbit,3,hind leg paralysis elderly rabbit spinal issue,Spinal Injury,0.58,critical
458,rabbit,2,abscess hard lump jaw,Abscess,0.55,moderate
459,rabbit,1,E. cuniculi head tilt severe circling,E. cuniculi,0.72,high
460,rabbit,3,GI stasis severe no droppings 24 hours,Gastrointestinal Stasis,0.78,critical
461,hamster,1,wet tail critical diarrhea death risk,Wet Tail,0.80,critical
462,hamster,2,abscess hard lump side body,Abscess,0.55,moderate
463,hamster,1.5,skin lumps multiple older hamster,Tumors,0.58,high
464,hamster,1,respiratory distress labored breathing breathing fast,Respiratory Infection Severe,0.70,critical
465,hamster,1,diabetes symptoms severe increased thirst urination weight loss,Diabetes Mellitus,0.72,high
466,hamster,1.5,severe fungal infection hair loss spreading body,Fungal Infection,0.60,moderate
467,hamster,2,eye swollen protruding eye proptosis,Eye Infection Severe,0.55,critical
468,hamster,1.5,paralyzed hind legs spinal injury,Spinal Injury,0.52,critical
469,hamster,1,severe mite infestation skin crusting,severe Mite Infestation,0.65,high
470,hamster,1.5,organ failure weight loss severe lethargy,Organ Failure,0.48,critical
471,fish,1,severe fin rot complete loss of fins,Fin Rot Severe,0.78,critical
472,fish,1.5,Ich severe white spots covering body flash death risk,Ich Severe,0.85,critical
473,fish,2,dropsy severe pinecone scales bloated death,Dropsy,0.82,critical
474,fish,1,hole in head disease holes ulcers head,Hexamita Hole Disease,0.65,high
475,fish,2,columnaris white patches cotton-like mouth,Columnaris,0.70,high
476,fish,1,flukes visible tiny worms on body gill damage,Gill Flukes,0.62,high
477,fish,1.5,velvet gold dust on body flashing,Gold Dust Disease,0.60,high
478,fish,1,swim bladder severe floating upside down no eating,Swim Bladder Disorder,0.65,critical
479,fish,2,ammonia poisoning severe red gills gasping death,Ammonia Poisoning,0.80,critical
480,fish,1,Popeye eye protruding one or both eyes cloudy,Popeye Disease,0.62,high
481,reptile,2,MBD severe rubbery jaw cannot eat collapse,Metabolic Bone Disease,0.80,critical
482,reptile,1,respiratory infection severe open mouth breathing discharge,Reptile Respiratory Infection,0.75,critical
483,reptile,3,scale rot severe blisters ulcers spreading body,Scale Rot,0.72,high
484,reptile,2,impaction severe no defecation bloated refusing food,Impaction,0.70,critical
485,reptile,1,mite infestation severe hundreds of mites anemia, Mite Infestation,0.70,high
486,reptile,2,eye infection severe swollen eyes closed discharge,Ocular Infection,0.65,high
487,reptile,1,dystocia egg binding female not laying eggs,Reproductive Issue,0.62,high
488,reptile,3,MBD early signs soft jaw slight rubbery jaw no UVB,Metabolic Bone Disease,0.62,moderate
489,reptile,1,skin infection fungal red spots spreading,Fungal Skin Infection,0.58,moderate
490,reptile,2,thermal burns from heat lamp red skin,Burn Injury,0.55,moderate
491,dog,2,skin infection red bumps oozing pustules,Pyoderma,0.65,moderate
492,dog,3,chronic ear infection recurring shaking head,Chronic Otitis,0.62,moderate
493,dog,1,puppy diarrhea bloody sudden death parvo risk,Canine Parvovirus,0.80,critical
494,dog,4,seizures neurological signs tremors distemper suspect,Canine Distemper,0.75,critical
495,dog,3,lyme disease chronic lameness kidney issues,Canine Lyme Disease,0.68,moderate
